school_name,Student ID,student_name,gender,grade,reading_score,math_score,School ID,type,size,budget,reading_pass_flag,math_pass_flag,pass_overall_flag,Spending,Spending Category
Huang High School,27,Tracey Oconnor,F,10th,80,58,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,28,Kelly James,F,11th,73,55,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,29,Nicole Brown,F,12th,90,88,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,30,Bobby Harris,M,9th,94,99,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,31,Brian Fernandez,M,10th,97,65,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,32,Candace Phelps,F,11th,93,90,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,33,Amy Gonzalez,F,12th,95,68,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,34,Steven Green,M,11th,65,74,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,35,Benjamin Carlson,M,10th,99,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,36,Kevin Bailey,M,10th,76,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,37,Jesse Newton,M,10th,63,66,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,38,Kimberly Mercado,F,12th,73,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,39,Gregory Roberts,M,9th,80,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,40,Matthew Mayer,M,9th,79,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,41,Jennifer Parks,F,11th,85,95,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,42,John Carlson,M,9th,65,89,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,43,Megan Roberts,F,9th,66,90,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,44,Debra Flores,F,10th,75,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,45,Heidi Jackson,F,11th,64,93,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,46,Denise Bradford,F,12th,73,59,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,47,Ellen Brown,F,11th,77,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,48,Amy Perkins,F,9th,76,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,49,Natalie Mitchell,F,10th,73,93,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,50,Tiffany Gutierrez,F,10th,82,95,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,51,Jennifer Hess,F,11th,91,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,52,Christine Fletcher,F,12th,69,78,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,53,Jon Smith,M,9th,96,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,54,Tracey Yates,F,9th,83,68,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,55,Jerry Gordon,M,12th,95,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,56,Michael Cox,M,11th,72,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,57,Madeline Snyder MD,F,9th,97,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,58,Allison King,F,11th,74,84,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,59,Theresa Meyer,F,9th,88,70,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,60,Jared Wood,M,9th,63,89,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,61,Eric Maynard,M,9th,64,95,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,62,Mark Owens,M,11th,74,65,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,63,Ronnie Conley,M,11th,77,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,64,Kimberly Davis,F,12th,87,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,65,Amy Mitchell,F,11th,74,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,66,Mr. Dylan Taylor MD,M,10th,77,93,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,67,Elizabeth Henderson,F,12th,70,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,68,James Lopez,M,12th,65,82,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,69,Michael Morgan,M,11th,75,89,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,70,Angela Francis,F,12th,70,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,71,Breanna Taylor,F,10th,93,68,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,72,Jason Johnson,M,12th,82,65,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,73,Kyle Martin,M,10th,72,94,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,74,Dr. Scott Gill,M,10th,85,85,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,75,Lisa Long,F,10th,87,62,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,76,Erin Liu,F,9th,78,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,77,Marcus Richards,M,12th,83,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,78,Jason Thompson,M,12th,99,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,79,Elizabeth Mckinney,F,9th,74,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,80,Jessica Bailey,F,10th,67,70,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,81,Lisa Frye,F,12th,94,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,82,Lindsey Baker,F,11th,81,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,83,Lisa Ramirez,F,12th,64,76,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,84,Joseph Butler,M,10th,77,63,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,85,Tina Lynch,F,10th,94,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,86,Leah Benitez,F,10th,93,84,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,87,Elizabeth Parker,F,10th,85,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,88,Melissa Hunter,F,10th,90,70,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,89,Miss Madison Everett,F,11th,70,78,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,90,Ronald Garcia,M,9th,99,86,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,91,Mark Cherry,M,10th,96,98,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,92,Ryan Stokes,M,9th,75,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,93,Isaiah Maldonado,M,10th,84,91,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,94,Micheal Dennis,M,12th,86,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,95,Kevin Martinez,M,11th,89,58,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,96,Jessica Smith,F,9th,77,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,97,Dawn Trujillo,F,11th,82,87,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,98,Virginia Ramirez MD,F,10th,99,89,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,99,Marc Hernandez,M,10th,87,63,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,100,Jose Gonzalez,M,12th,69,67,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,101,Jason Dennis,M,10th,72,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,102,Gary Morris,M,11th,74,58,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,103,William Mcdonald,M,12th,86,74,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,104,Michael Savage,M,9th,75,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,105,Alexis Todd,F,11th,82,95,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,106,David Hansen,M,10th,76,86,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,107,Steven Mendez,M,12th,68,88,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,108,Ryan Lynch,M,12th,77,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,109,Timothy Marks,M,9th,78,62,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,110,Alexander Johns,M,10th,67,77,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,111,Kenneth Chavez,M,9th,70,79,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,112,Dennis Williams,M,10th,88,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,113,Michael Roy,M,12th,85,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,114,Richard Ryan,M,12th,88,86,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,115,Matthew Reyes,M,12th,79,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,116,Stephanie Ward,F,11th,75,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,117,Christopher Tucker,M,10th,80,90,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,118,Daniel Jones,M,12th,66,68,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,119,Devin Craig,M,10th,65,80,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,120,Erin Prince,F,12th,88,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,121,Bernard Ortiz,M,11th,78,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,122,Nicole Miller,F,10th,98,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,123,Christopher Fritz,M,9th,88,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,124,Bonnie Mckinney,F,11th,63,65,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,125,Troy Nelson,M,11th,79,63,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,126,Jennifer Lee,F,12th,93,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,127,Ronald Ward,M,10th,74,89,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,128,Nathaniel Hampton,M,11th,70,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,129,Michael Travis,M,11th,65,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,130,James Taylor,M,9th,77,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,131,Thomas Strickland,M,9th,63,77,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,132,Brittany Jackson,F,9th,79,57,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,133,Marisa Lowe,F,9th,95,95,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,134,Nicole Thomas,F,9th,83,59,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,135,Matthew Rodriguez,M,12th,80,79,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,136,Kent Fernandez,M,12th,66,58,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,137,Michelle Martin,F,12th,86,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,138,John Sparks,M,9th,74,91,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,139,Ann Blake,F,11th,97,75,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,140,Melissa Miller,F,12th,76,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,141,Steven Houston,M,9th,99,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,142,Kristen Anderson,F,11th,78,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,143,Cory Jones,M,11th,82,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,144,Jennifer Mora,F,10th,98,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,145,Dennis Griffin,M,9th,78,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,146,Darryl Brown,M,10th,98,90,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,147,Martin Mosley,M,10th,90,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,148,Joyce Diaz,F,10th,85,58,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,149,Jeffrey Rose,M,12th,81,91,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,150,Jamie Moreno,F,9th,78,99,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,151,Catherine Williams,F,9th,66,56,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,152,Lauren Byrd,F,11th,66,92,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,153,Vanessa Frazier,F,10th,85,82,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,154,Stephen Bryant,M,11th,83,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,155,Lawrence Liu,M,12th,82,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,156,Joseph Larsen,M,9th,88,82,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,157,Susan Collier,F,11th,76,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,158,Meagan Jensen,F,9th,66,67,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,159,Julie Harper,F,12th,88,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,160,Meghan Carroll,F,12th,75,98,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,161,Wanda Horton,F,11th,68,88,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,162,Mary Campbell,F,10th,72,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,163,Jennifer Rodgers,F,11th,83,98,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,164,Heather Cooper,F,12th,85,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,165,Ryan Perez,M,11th,70,87,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,166,Ryan Cox,M,12th,95,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,167,Darren Zavala,M,10th,64,84,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,168,Joseph Morales III,M,10th,64,85,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,169,Aaron West,M,10th,98,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,170,James Combs,M,10th,65,82,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,171,Curtis Garner,M,10th,79,78,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,172,Sarah Miller,F,10th,94,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,173,Samantha Thomas,F,10th,92,62,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,174,Robert Atkins,M,9th,85,97,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,175,Alexis Crawford,M,10th,70,82,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,176,Ryan Maddox,M,11th,80,80,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,177,Jonathan Meyer,M,9th,65,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,178,Donna Wagner,F,10th,95,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,179,William Kennedy,M,11th,76,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,180,Kimberly Martinez,F,11th,84,83,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,181,Matthew Anderson,M,11th,92,99,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,182,Kari Miller,F,9th,88,55,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,183,Jenna Luna,F,9th,73,91,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,184,Justin Contreras,M,12th,89,63,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,185,Mary Fox,F,11th,94,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,186,Joseph Perkins,M,10th,96,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,187,Kelly Phillips,F,12th,78,90,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,188,Justin Thornton,M,11th,65,61,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,189,Joshua Barber,M,10th,77,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,190,Travis Jackson,M,11th,86,96,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,191,Jordan Beasley,F,10th,96,59,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,192,Kevin Allen,M,12th,68,63,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,193,Victoria Harris,F,11th,89,59,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,194,Victoria Joseph,F,12th,72,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,195,Brandy Marshall,F,11th,86,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,196,Ryan Jimenez,M,11th,63,89,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,197,Michael Chan,M,9th,63,69,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,198,Christopher Phillips,M,9th,86,55,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,199,Kevin Murphy,M,10th,85,99,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,200,Vanessa Harper,F,12th,85,85,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,201,James Ferguson,M,9th,96,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,202,Carol Schroeder,F,12th,83,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,203,Jerry Phillips,M,10th,82,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,204,Kristin Wade,F,9th,71,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,205,Jessica Warner,F,11th,94,83,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,206,Dorothy Burke,F,11th,91,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,207,Bethany Walter,F,9th,88,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,208,Melissa Avery,F,9th,83,86,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,209,Daniel Sutton,M,11th,86,96,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,210,Ryan Johnson,M,9th,63,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,211,Timothy Quinn,M,10th,83,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,212,Zachary Allen,M,10th,64,87,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,213,Lauren Schmitt,F,12th,71,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,214,Stephanie Armstrong,F,11th,70,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,215,Ruben Rivera,M,9th,65,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,216,Patricia Petty,F,12th,79,98,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,217,Joseph Jacobs,M,11th,96,68,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,218,Bianca Wilson,F,11th,66,62,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,219,Donald Perez,M,9th,87,79,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,220,Curtis Gomez,M,9th,77,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,221,Courtney Brown,F,9th,90,88,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,222,Nicole Randall,F,9th,94,78,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,223,Steven Lambert,M,11th,64,56,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,224,Anthony Alvarez,M,10th,93,90,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,225,Shawn Farrell,M,10th,89,87,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,226,Jesus Schmidt,M,9th,80,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,227,Laura Wright,F,12th,89,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,228,Steven Smith,M,11th,66,65,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,229,Norman Thompson,M,9th,99,78,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,230,Anthony Wright,M,10th,76,64,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,231,Kayla Watts,F,11th,74,89,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,232,Aimee Johnson,F,9th,97,55,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,233,Heidi Scott,F,12th,77,98,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,234,Anthony Williams,M,10th,78,93,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,235,Sarah Hill,F,12th,88,97,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,236,Kim Wang,F,9th,90,71,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,237,Beth Manning,F,11th,88,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,238,Ryan Hanson,M,12th,87,83,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,239,James Wood,M,9th,70,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,240,Corey Greene,M,10th,70,94,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,241,John Carter,M,11th,95,83,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,242,Beth Garza,F,11th,75,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,243,Karen Jones,F,9th,78,96,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,244,Stephanie Poole,F,10th,95,59,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,245,Lisa Brown,F,9th,99,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,246,Paul Scott,M,10th,64,78,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,247,Evelyn Buck,F,10th,68,60,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,248,Terry Harrell,M,9th,86,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,249,Leah Skinner,F,11th,70,79,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,250,Anthony Mercado,M,11th,95,97,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,251,Walter Kelly,M,9th,80,78,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,252,Lori Evans,F,10th,99,66,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,253,Ashley Jones,F,12th,96,72,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,254,Amber Soto,F,9th,82,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,255,Patrick Phillips,M,10th,64,62,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,256,Linda Curry,F,11th,74,76,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,257,Alexander Obrien,M,10th,68,90,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,258,Vincent Garza,M,10th,97,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,259,Terry Marsh,M,11th,99,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,260,Angela Perkins DVM,F,11th,76,56,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,261,Peter Hampton,M,9th,83,97,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,262,David Cross,M,11th,68,61,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,263,Clinton Ortega,M,10th,93,62,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,264,Jamie Escobar,F,10th,91,91,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,265,Sandra Mason,F,12th,76,83,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,266,Craig Cole,M,12th,83,92,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,267,Lisa Warren,F,12th,70,81,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,268,Maria Howard,F,9th,74,91,0,District,2917,1910635,1,1,1,655.0,$645-675
